"Maturity","Behaviour_PC1","Age","Foraging","Nursing","Queen_contact","Guarding","Cleaning"
0.678570438130363,0.676180418338759,0.544537416292009,0.603639246,0.338628544873974,0.179470072926872,0.076600612648777,0.0478771400401385
0.768424389300692,0.650521395777795,0.644125140547177,0.47195316,0.217740862316399,0.222762003084467,0.0465042576290053,0.000363007252912248
0.7621977521102,0.673650270821446,0.571228079526163,0.444611724,0.311519691258121,0.165796183527686,0.0145154442296189,0.0643991859076912
0.734325188768565,0.564070001687895,0.490857727876661,0.292344889,0.359164912254848,0.298198348791816,0.0809916628926605,0.014890447674173
0.742411940835492,0.593855692338371,0.58201350196673,0.492661961,0.406938115000918,0.288240462570436,0.0228944194495391,0.0185122566022707
0.752819052810368,0.597352045588435,0.544490885281111,0.630829729,0.274471182122261,0.183190552494483,0.00545724904367707,0.0138807009123914
0.751430625084671,0.657761189151126,0.620770509438174,0.335295797,0.331218004695269,0.309962204966109,0.026434402251253,0.0440079294253182
0.772381331459676,0.578794411952578,0.53828803704765,0.543252148,0.328998469522585,0.210735472332009,0.090960975580383,1.92685095742861e-05
0.741894483413038,0.390159749811686,0.549508776389962,0.476200341,0.338344437222543,0.243242302675534,0.0995192037138747,0.00535098558074524
0.760324255071622,0.586227505532705,0.545389808969721,0.443575839,0.292010974635902,0.294511678550835,0.0225089328934936,1.04766512352965e-07
0.752585788031012,0.603502228870129,0.60449871166315,0.414380092,0.304196401521951,0.166833490649221,0.00681756227816622,2.77228081323198e-05
0.729714129824865,0.668718269827294,0.636793627519147,0.6176929,0.380204844723899,0.292808952970811,0.0666061060652551,0.0820013522734188
0.760081018230817,0.621862484125391,0.539064625865223,0.48149125,0.39557904755526,0.277413630595073,0.0143512435460952,0.00488070515327437
0.802717354142471,0.660838653294018,0.572664156707884,0.405516515,0.282442429977888,0.281177080357879,0.000869208763451573,0.0171602686105444
0.783251424035749,0.627127165171757,0.596796396471776,0.603531908,0.340105347030248,0.287336962976629,0.019991877335066,0.0937349451944236
0.779047151292907,0.697072777081986,0.609210865887111,0.406502148,0.360450839617317,0.159630617696576,0.067495492140629,0
0.768706018736074,0.669398570081623,0.558827234589084,0.490569028,0.406857015339323,0.23901157820126,0.121891557144832,0.0522106580057962
0.73304235709655,0.663545618517256,0.573810290351393,0.424231352,0.301433133588753,0.165630496866381,0.0193432089590058,0.0222507197715923
0.778310265580787,0.664897732410346,0.617190165666378,0.572118024,0.310465277119864,0.0946582088266335,0.0794687604879669,NA
0.806156931808066,0.621977892757158,0.598457532476366,0.699481341,0.280558145643171,0.190028393283032,0.0183039900514761,0.0241183685597051
0.777133671591849,0.619324415532873,0.623668917102338,0.603070675,0.331846332470728,0.193782778098415,0.0159187040367155,0.0445915287522359
0.778809144547145,0.580339051660682,0.679933847551307,0.664968987,0.283185100752171,0.210840290188492,0.0157275393564303,0.0330288717234692
0.769033138153352,0.670616930184258,0.636517019746849,0.459830903,0.360752004474368,0.272578504340063,0.0353984795620464,0.0504954336679976
0.78518015378474,0.65534450106632,0.641528409733938,0.651691116,0.330220040299647,0.179389280238338,0.0754276806956992,0.0815373186122409
