"cleaning","trophallaxis","broodcare","guarding","queenattending","prop"
0.027027027027027,0.214285714285714,0,0.09375,0,0.309242706153513
0.0810810810810811,0.428571428571429,0,0,0.105263157894737,0
0,0.214285714285714,0.484848484848485,0,0.157894736842105,0
0,0.857142857142857,0.303030303030303,0,0.0526315789473684,0
0,0.357142857142857,0.424242424242424,0,0.157894736842105,0
1,0.214285714285714,0,0.09375,0,0
0,0.142857142857143,0.287878787878788,0,0.0526315789473684,0
0,0.571428571428571,0,0.09375,0,0.0535025752031549
0.891891891891892,0.142857142857143,0,0,0,0
0.0810810810810811,0.214285714285714,0.106060606060606,0,0.0789473684210526,0.0344171770973382
0.0810810810810811,0.642857142857143,0,0,0.210526315789474,0
0,0.428571428571429,0.575757575757576,0,0.157894736842105,0
0.0540540540540541,0,0,0.4375,0,0.1878531611147
0,0.214285714285714,0,0,0.0263157894736842,0
0,0.571428571428571,0.121212121212121,0,0.368421052631579,0
0.405405405405405,0.285714285714286,0,0,0.0263157894736842,0
0,0.142857142857143,0,0.5,0.0263157894736842,0.00830335965385805
0.027027027027027,0.428571428571429,0.0606060606060606,0,0,0
0,0.428571428571429,0,0.0625,0,0.629164479583571
0.108108108108108,0,0.0303030303030303,0,0,0
0.378378378378378,0.285714285714286,0,0,0,0
0.027027027027027,0.357142857142857,0,0.34375,0,0
0.027027027027027,0.0714285714285714,0,0.0625,0,0
0.027027027027027,0.142857142857143,0,0.03125,0,0.622090848412806
0.027027027027027,0.428571428571429,0,0,0.0526315789473684,0
0.108108108108108,0,0,0.09375,0,0
0.135135135135135,0.214285714285714,0,0,0,0
0.0540540540540541,0.214285714285714,0,0,0,0
0.243243243243243,0.214285714285714,0.106060606060606,0,0.0263157894736842,0
0.027027027027027,0.285714285714286,0,0.03125,0,0.957829985663171
0.162162162162162,0.0714285714285714,0,0,0,0.787208625242411
0.162162162162162,0,0,0,0,0.626884050638206
0.0810810810810811,0.0714285714285714,0,0,0,0.0179641900599944
0.162162162162162,0,0,0,0.131578947368421,0
0.027027027027027,0,0.136363636363636,0,0,0
0.108108108108108,0.571428571428571,0.0303030303030303,0.03125,0,0
0.864864864864865,0.0714285714285714,0,0,0,0
0.027027027027027,0.142857142857143,0.121212121212121,0,0,0
0,0.142857142857143,1,0,0.0526315789473684,0
0.0540540540540541,0.428571428571429,0.515151515151515,0,0,0
0,0.285714285714286,0.0757575757575758,0,0,0
0,0.428571428571429,0.484848484848485,0,0.184210526315789,0
0,0.142857142857143,0.939393939393939,0,0.0263157894736842,0
0.027027027027027,1,0.181818181818182,0,0.368421052631579,0
0,0.285714285714286,0.0151515151515152,0.03125,0,0.779869929260198
0.486486486486487,0.0714285714285714,0.0151515151515152,0,0.0526315789473684,0.0142371324487848
0.135135135135135,0.0714285714285714,0.257575757575758,0,0.0526315789473684,0
0.0810810810810811,0.285714285714286,0,0.125,0.0263157894736842,0
0,0.214285714285714,0.5,0,0.289473684210526,0
0.027027027027027,0.285714285714286,0.909090909090909,0,0.210526315789474,0
0,0.285714285714286,0.0303030303030303,0,0,0
0.027027027027027,0.5,0.0303030303030303,0,0.5,0.0510030811730138
0.027027027027027,0.428571428571429,0,0.03125,0,1
