"ant1","ant2","space","weight","duration","weightHH","durationHH"
1,2,1,6,9.33375430107117,4,6.16669321060181
1,3,1,28,48.0003519058228,12,29.8335764408112
1,4,1,27,96.9999656677246,8,60.6665604114532
1,4,2,255,1244.50682067871,154,1037.67232632637
1,5,1,150,1278.5039794445,44,734.669648647308
1,6,1,43,73.4976916313171,11,27.4988741874695
1,7,1,10,14.3334131240845,4,9.83325505256653
1,8,1,35,83.8336884975433,18,45.8338689804077
1,9,1,17,18.9999778270721,7,9.16551399230957
1,10,1,137,642.673436164856,44,210.666701078415
1,11,1,25,83.5013360977173,11,59.1670987606049
1,12,1,68,310.00158572197,37,230.167006492615
1,13,1,129,1063.67085552216,79,898.836721658707
1,14,1,99,656.002011060715,42,325.998862981796
1,15,1,57,227.004181623459,26,83.0033795833588
1,16,1,19,23.0002620220184,11,14.3326621055603
1,17,1,76,163.665157079697,32,92.6656532287598
1,18,1,171,884.832903385162,121,747.998058080673
1,19,1,54,285.831806182861,24,223.166672229767
1,19,2,343,737.003027200699,167,562.673818588257
1,20,1,50,146.167075157166,28,109.000029087067
1,21,1,19,37.3337156772614,11,22.0003144741058
1,22,1,24,69.0000121593475,8,23.1664559841156
1,23,1,104,529.167729139328,44,80.8326461315155
1,23,2,15,16.1660490036011,8,10.1658861637115
1,24,1,16,30.0012099742889,7,16.6672670841217
1,25,1,22,75.8329207897186,5,37.8333902359009
1,26,1,184,1080.3362197876,75,586.66841340065
1,26,2,28,47.3323419094086,12,17.4999184608459
1,28,1,17,22.1661398410797,6,8.99988412857056
1,28,2,376,1379.00609493256,201,898.338827133179
1,29,1,15,60.4995121955872,8,51.8328943252563
1,29,2,181,392.669899940491,92,256.669174671173
1,30,1,46,94.8353967666626,13,23.1669368743896
1,30,2,55,101.834185838699,36,36.166711807251
1,31,1,46,95.0022811889648,26,42.3348500728607
1,32,1,7,9.83228397369385,2,6.33324074745178
1,32,2,512,1084.50504016876,280,765.838472366333
1,33,1,13,37.8345639705658,3,1.3329131603241
1,34,1,44,76.1639711856842,22,36.9980924129486
1,35,1,93,258.170974731445,58,200.668206691742
1,35,2,230,1374.51258063316,123,1175.34244036674
1,36,1,33,39.0010623931885,7,9.33447504043579
1,37,1,123,1011.16946291924,43,337.834801912308
1,37,2,359,2681.18470978737,193,2170.18266057968
1,38,1,12,11.0009741783142,2,1.00040793418884
1,38,2,444,1855.6780872345,248,1371.8371026516
1,39,1,38,71.1659851074219,7,25.3333749771118
1,39,2,283,1582.18125939369,122,498.839326143265
1,40,1,35,41.4985737800598,6,7.50006890296936
1,40,2,142,319.005553245544,74,194.001560926437
1,41,1,63,239.832006692886,19,129.332606315613
1,42,1,19,26.5001447200775,5,10.3334851264954
1,43,1,164,488.669164657593,93,299.33212518692
1,43,2,426,1044.67266321182,235,802.171502113342
1,44,1,122,1344.00346302986,75,1041.66876506805
1,44,2,305,1120.50694203377,171,860.002928733826
1,45,1,181,906.00096821785,107,697.6671397686
1,46,1,40,478.835775375366,13,47.5008599758148
1,46,2,135,404.504363298416,64,254.002221345901
1,47,1,72,178.8363468647,27,113.000405788422
1,47,2,63,118.834037542343,37,99.3338530063629
1,48,1,73,169.334002494812,34,79.4995534420013
1,49,1,143,568.337336301804,54,394.83654499054
1,49,2,12,16.6669788360596,5,8.0001757144928
1,50,1,34,99.1676211357117,12,24.6662724018097
1,50,2,236,827.837648630142,111,615.336519479752
1,51,1,50,111.497821092606,22,56.8319020271301
1,52,1,23,42.3358776569366,14,15.3344507217407
1,53,1,243,2047.00901389122,112,1200.17142653465
1,53,2,38,54.1678273677826,14,35.3336815834045
1,54,1,22,28.66814661026,13,14.3336970806122
1,55,1,41,60.4998621940613,12,28.3327956199646
1,56,1,16,28.0009865760803,8,18.3334269523621
1,57,1,29,51.1661360263824,11,29.1669280529022
1,58,1,12,22.4995965957642,2,1.99992299079895
1,59,1,30,81.998126745224,14,30.8319506645203
1,60,1,14,21.1677362918854,9,16.5005931854248
1,61,1,11,15.332279920578,6,8.83288764953613
1,62,1,10,26.0008089542389,3,11.3336200714111
1,63,1,111,1670.6690967083,65,1584.50247097015
1,64,1,43,94.666779756546,25,69.3322832584381
1,65,1,32,44.3323223590851,6,14.3333220481873
1,66,1,68,318.999450922012,36,272.833135128021
1,67,1,41,227.334782123566,16,152.167325496674
1,68,1,11,16.5006713867188,6,10.5003688335419
1,69,1,40,102.332167863846,10,36.3321709632874
1,70,1,72,269.333078622818,43,218.16604590416
1,71,1,42,56.8341798782349,19,38.8347749710083
1,72,1,45,505.999432563782,15,477.166956424713
1,73,1,17,21.1649115085602,7,14.1661796569824
1,74,1,24,99.0007095336914,9,61.0003068447113
1,75,1,16,21.5012757778168,9,12.6678335666656
1,76,1,23,42.8318381309509,8,7.16666626930237
1,77,1,14,21.4993941783905,7,12.5000522136688
1,78,1,108,507.835288524628,48,172.167780399323
1,78,2,35,40.0005896091461,19,22.5005288124084
1,79,1,205,1013.67223310471,96,695.171615362167
1,80,1,62,108.66553902626,18,40.9994940757751
1,81,1,19,43.9993073940277,9,18.0003736019135
1,82,1,22,33.6679050922394,5,11.6664552688599
1,83,1,34,445.001456260681,19,421.66752743721
1,84,1,15,66.4992854595184,10,49.3329873085022
1,85,1,10,23.4988646507263,7,22.1661133766174
1,86,1,19,15.9996445178986,4,3.33369398117065
1,86,2,4,6.00005197525024,2,5.50008797645569
1,87,1,26,64.5004336833954,14,52.8342981338501
1,88,1,21,35.1667749881744,8,16.6663951873779
1,89,1,33,57.8347792625427,13,25.5007328987122
1,90,1,9,12.5010755062103,2,1.50041770935059
1,91,1,10,26.5000040531158,4,20.833694934845
1,92,1,18,46.9991505146027,5,25.3324990272522
1,93,1,16,26.0006279945374,3,10.000344991684
1,94,1,24,47.0011377334595,13,33.6673254966736
1,95,1,12,23.8342990875244,5,19.333464384079
1,96,1,27,42.165976524353,5,9.83363389968872
1,97,1,24,65.8343369960785,10,43.4998939037323
1,98,1,11,9.66756796836853,3,1.83251070976257
1,99,1,84,1436.83647632599,31,1180.83541464806
1,99,2,34,25.3335070610046,13,11.0006279945374
1,100,1,13,9.83297419548035,1,0.1666419506073
1,101,1,24,82.1679821014404,8,46.1675748825073
1,102,1,19,38.3332469463348,8,17.3330240249634
1,103,1,30,50.3341763019562,14,37.6664719581604
1,104,1,170,1684.00373840332,85,1367.33576202393
1,105,1,20,40.8323659896851,9,24.4996280670166
1,105,2,370,2068.85113024712,168,1566.84587001801
1,106,1,38,97.6646137237549,20,45.6651790142059
1,106,2,433,1876.85838937759,209,1240.01276087761
1,107,1,48,90.9994010925293,19,22.8327393531799
1,107,2,618,2637.18620467186,329,2111.01694178581
1,108,1,88,689.834768295288,66,672.168248414993
1,108,2,509,1653.84936833382,236,1045.00801897049
1,109,1,30,102.833113193512,16,92.3334906101227
1,109,2,574,2291.35096049309,308,1286.17822813988
1,110,1,63,140.835703134537,23,78.5004150867462
1,110,2,383,896.344109296799,147,383.004847764969
1,111,1,92,219.001615762711,43,127.501116037369
1,112,1,21,33.6670114994049,10,23.1664025783539
1,113,1,37,79.3320097923279,20,62.498318195343
1,114,1,28,68.3329994678497,11,29.3339765071869
1,115,1,15,14.501077413559,4,5.33322310447693
1,116,1,49,66.6646320819855,16,17.6660685539246
1,116,2,368,915.841589927673,190,661.173228740692
1,117,1,35,44.665619134903,15,20.6660139560699
1,117,2,120,379.505969047546,76,278.005875349045
1,118,1,98,296.500477075577,46,197.502455949783
1,118,2,26,242.002184152603,15,232.667818307877
1,119,1,22,57.3338439464569,11,37.8339517116547
1,120,1,84,249.665726900101,53,209.333084583282
1,121,1,76,521.502956628799,33,358.168791532516
1,122,1,29,40.3321213722229,11,15.0002965927124
1,122,2,4,9.83352994918823,2,8.8330090045929
1,123,1,51,234.997943162918,21,106.666538238525
1,124,1,33,49.1686415672302,20,28.5005567073822
1,125,1,54,75.4995365142822,13,17.83296251297
1,126,1,132,787.838385343552,66,330.167510509491
1,127,1,107,550.494179487228,60,463.162721395493
1,127,2,109,248.664352416992,55,165.16578412056
1,128,1,65,291.666233539581,34,252.83463549614
1,129,1,64,157.33336853981,23,71.1669640541077
1,130,1,70,594.666309833527,48,561.666752099991
1,131,1,156,728.66776061058,82,587.50198340416
1,132,1,65,231.334181785583,22,18.999715089798
1,132,2,201,1219.67525410652,117,1090.67346858978
1,133,1,27,41.4984123706818,13,31.6650929450989
1,134,1,15,35.8333463668823,7,26.166656255722
1,135,1,109,308.332635402679,57,237.832493305206
1,136,1,67,273.167958021164,13,38.50017619133
1,136,2,2,1.83335399627686,2,1.83335399627686
1,137,1,63,298.003633975983,33,244.836149215698
1,138,1,22,31.8339285850525,8,22.0008683204651
2,3,1,139,295.338074922562,74,198.335084199905
2,4,1,2,0.666958093643188,0,0
2,5,1,75,541.836035728455,27,61.6679375171661
2,6,1,141,702.830480098724,54,464.334091424942
2,7,1,455,1460.33103728294,189,459.000092029572
2,8,1,225,774.838285207748,67,234.667616844177
2,9,1,283,759.007701635361,136,409.834287643433
2,10,1,34,49.1682524681091,10,10.4996883869171
2,11,1,260,1117.6724550724,107,404.003797292709
2,12,1,76,220.503200292587,25,64.3346619606018
2,13,1,104,255.335558891296,43,107.667208909988
2,14,1,64,290.832941055298,15,35.3328347206116
2,15,1,92,365.998663425446,35,148.666991949081
2,16,1,355,2197.66781115532,167,518.000304222107
2,17,1,67,200.005043745041,33,125.834523677826
2,18,1,36,46.9995455741882,16,23.8338105678558
2,19,1,2,4.33350801467896,2,4.33350801467896
2,20,1,161,1021.66975617409,32,113.999420642853
2,21,1,43,52.6668570041656,18,27.9994120597839
2,22,1,189,1080.33519864082,69,324.168904781342
2,23,1,46,106.000435113907,19,27.5000247955322
2,24,1,240,943.504317998886,95,374.171726703644
2,25,1,92,330.838313817978,49,249.336149930954
2,26,1,18,19.0014863014221,7,7.33362793922424
2,28,1,5,3.33396792411804,4,2.66729211807251
2,29,1,9,13.332706451416,2,1.83365678787231
2,30,1,9,6.83300638198853,5,5.49946928024292
2,31,1,200,1484.00406980515,41,246.667825937271
2,32,1,16,37.4998807907104,3,7.00010704994202
2,33,1,487,2346.50674557686,198,1391.50504565239
2,34,1,144,447.334158658981,69,262.834312915802
2,35,1,17,28.8325161933899,4,4.99929714202881
2,36,1,188,506.668966054916,85,286.169484138489
2,37,1,18,21.6667547225952,5,10.5001919269562
2,38,1,9,19.1659770011902,3,5.83295297622681
2,39,1,13,17.6664419174194,3,3.66623687744141
2,40,1,15,17.8340492248535,9,10.1673607826233
2,41,1,105,317.164452314377,42,113.665531635284
2,42,1,4,2.16719889640808,1,0.333350896835327
2,43,1,18,20.6665506362915,11,13.6668334007263
2,44,1,2,2.66633915901184,0,0
2,45,1,25,34.5002732276917,9,11.9990692138672
2,46,1,7,13.5005593299866,3,7.66669130325317
2,47,1,96,219.000195026398,14,27.0000376701355
2,48,1,38,115.832603216171,13,44.8323917388916
2,49,1,19,30.4992847442627,9,16.6660330295563
2,50,1,7,12.5005066394806,3,5.66695094108582
2,51,1,54,184.998577594757,28,88.3327279090881
2,52,1,318,1429.33499193192,94,364.83497262001
2,53,1,50,102.498987913132,19,32.0005040168762
2,54,1,25,64.3335812091827,10,17.8332631587982
2,55,1,52,94.6656441688538,14,40.5001518726349
2,56,1,226,625.670692443848,92,244.000670909882
2,57,1,155,559.665835857391,51,194.66606426239
2,58,1,8,14.4998471736908,6,10.666412115097
2,59,1,109,705.833782434464,46,104.832813024521
2,60,1,528,2253.33460640907,250,1138.83421897888
2,61,1,326,1346.83666300774,186,772.835042715073
2,62,1,309,1325.16992235184,150,872.834171056747
2,63,1,123,245.833701848984,49,117.16704249382
2,64,1,235,1931.33632826805,75,321.335762023926
2,65,1,250,1140.16879892349,77,226.499163627625
2,66,1,145,520.669770240784,94,369.168058156967
2,67,1,432,1443.8349211216,312,1089.16788101196
2,68,1,441,1937.17594814301,185,773.677096605301
2,69,1,299,922.328202486038,155,387.331258058548
2,70,1,47,98.3324854373932,20,45.3330402374268
2,71,1,266,1530.66760540009,103,372.166393280029
2,72,1,185,623.670782566071,53,149.334428071976
2,73,1,218,760.49702334404,52,145.998049497604
2,74,1,132,479.503364086151,54,310.501715898514
2,75,1,195,553.004166126251,86,284.334066867828
2,76,1,276,752.333762168884,119,408.833570957184
2,77,1,269,1021.83385252953,151,753.666418552399
2,78,1,35,138.334093093872,12,24.3344306945801
2,79,1,137,424.66574048996,51,178.83253288269
2,80,1,141,345.500190019608,64,195.999955177307
2,81,1,327,2081.67270946503,139,1110.6714630127
2,82,1,473,2215.67237305641,198,850.335669755936
2,83,1,169,489.333135843277,125,407.334808588028
2,84,1,621,2623.84124588966,288,1468.34308028221
2,85,1,419,2117.16810846329,165,873.500436067581
2,86,1,423,1737.50608682632,169,663.501274347305
2,87,1,189,679.004789829254,82,238.83318901062
2,88,1,270,874.338337659836,131,528.168128252029
2,89,1,210,707.333472728729,99,251.166651964188
2,90,1,547,1800.17607617378,348,1202.83680582047
2,91,1,362,1716.00952982903,143,437.834109306335
2,92,1,336,994.504210710526,158,600.502381801605
2,93,1,490,1798.33534502983,230,875.833748817444
2,94,1,288,1068.83860397339,122,346.500760555267
2,95,1,475,1692.83406233788,262,1133.99828457832
2,96,1,439,2184.67132759094,194,1034.16890764236
2,97,1,427,1662.66416311264,210,825.833931446075
2,98,1,488,2466.50881814957,178,468.336122989655
2,99,1,51,320.833396434784,8,18.4998004436493
2,100,1,490,1996.16315627098,246,876.33487868309
2,101,1,358,1263.67195892334,153,655.836399793625
2,102,1,177,755.832410335541,63,418.166260242462
2,103,1,112,244.997207403183,50,77.9994070529938
2,104,1,76,185.168163776398,23,58.0025246143341
2,105,1,27,30.3346040248871,6,12.1682457923889
2,106,1,9,12.3327035903931,7,11.6659777164459
2,107,1,6,5.49961447715759,1,0.166679859161377
2,108,1,12,26.666323184967,3,6.33363199234009
2,109,1,13,28.0008234977722,7,18.833470582962
2,110,1,18,54.0002405643463,7,14.3338708877563
2,111,1,34,60.0008203983307,6,10.1667001247406
2,112,1,443,1342.66754770279,223,658.835269212723
2,113,1,214,637.501422405243,87,298.83483839035
2,114,1,2,0.999356031417847,2,0.999356031417847
2,115,1,345,1130.83289647102,116,497.835954427719
2,116,1,23,41.8348383903503,12,26.6682071685791
2,117,1,48,129.334699869156,22,43.8332011699677
2,118,1,14,38.9999458789825,6,22.166916847229
2,119,1,265,1049.00778651237,129,544.836847543716
2,120,1,97,244.498975276947,27,60.5005989074707
2,121,1,112,321.667786121368,45,147.500733852386
2,122,1,322,1322.00320863724,151,539.666742086411
2,123,1,196,696.001605033875,66,277.500405788422
2,124,1,150,387.162018060684,39,110.666335821152
2,125,1,55,143.333191633224,24,61.8317513465881
2,126,1,62,120.83501958847,29,80.999480009079
2,127,1,32,28.0000259876251,16,20.332512140274
2,128,1,133,409.165836811066,25,46.3335242271423
2,129,1,61,100.664784193039,20,43.6666433811188
2,130,1,195,836.004137039185,85,372.833353757858
2,131,1,42,114.999353408813,13,44.6671102046967
2,132,1,32,62.663722038269,19,37.3328063488007
2,133,1,253,1060.50245642662,61,182.49705529213
2,134,1,454,2324.00767040253,220,877.002254962921
2,135,1,16,39.3351044654846,5,15.0002446174622
2,136,1,225,1061.0029194355,85,333.669937610626
2,137,1,79,213.501741886139,27,37.1674239635468
2,138,1,266,1221.66744494438,94,426.663077116013
2,139,1,1934,13973.5306713581,582,4420.67630887032
3,4,1,4,2.16667222976685,0,0
3,5,1,385,5302.01427650452,170,2969.00815939903
3,6,1,245,1773.66869521141,84,616.66620182991
3,7,1,214,2093.50238919258,88,717.001762390137
3,8,1,240,1041.66629934311,68,262.829946517944
3,9,1,582,2758.50779938698,240,842.334244251251
3,10,1,77,700.502105236053,42,285.335422992706
3,11,1,261,1120.83564472198,80,414.668342828751
3,12,1,115,478.502062559128,60,278.501337051392
3,13,1,268,1200.83465313911,104,304.998274564743
3,14,1,644,5217.18579387665,353,4367.84820961952
3,15,1,142,511.503999710083,48,124.501207113266
3,16,1,394,1502.66956615448,202,929.668231248856
3,17,1,182,1783.16182684898,89,709.499572753906
3,18,1,289,2503.16933870316,89,1039.83317923546
3,19,1,17,20.665540933609,9,16.3327879905701
3,20,1,356,2894.17977118492,75,297.000706672668
3,21,1,180,392.836845397949,53,125.500384807587
3,22,1,196,2127.50431489944,39,255.833953857422
3,23,1,41,57.000289440155,12,30.4999752044678
3,24,1,122,506.83390545845,41,114.001034736633
3,25,1,44,114.668330907822,8,31.3339028358459
3,26,1,26,40.0011487007141,6,8.83292627334595
3,28,1,22,188.167149782181,6,9.33338904380798
3,29,1,9,6.99952816963196,3,5.16668128967285
3,30,1,10,20.3329017162323,3,5.49962186813354
3,31,1,40,91.9959952831268,12,39.8327023983002
3,32,1,8,6.16571974754333,3,3.33353781700134
