"Age","Forage","Nurse","Maturity","colony"
3,0,0.727272727272727,0.00673000354751009,"A"
31,0.0436542901133664,0,0.910590471840269,"A"
10,0,0.0909090909090909,0.145519765191336,"A"
28,0.036743264075826,0,0.923030557489162,"A"
4,0,0.621212121212121,0.00610733939531227,"A"
6,0,0.757575757575758,0.00446568691059844,"A"
5,0,0.151515151515152,0.0383975957452464,"A"
25,0.631370853547279,0,0.995014729972171,"A"
1,0.4189894770297,0,0.849450500201439,"A"
10,0,0.0757575757575758,0.115430805651004,"A"
8,0.363973469340839,0,0.993215011433712,"A"
18,0.0688684578029791,0,0.903267303598028,"A"
11,0,0,0.302814825872625,"A"
4,0,0.393939393939394,0.0311894941361188,"A"
5,0.181775093756066,0.0454545454545455,0.58757084338213,"A"
4,0,0.0151515151515152,0.288460693679008,"A"
33,0.933190835233383,0,1,"A"
26,0,0,0.748646728999624,"A"
14,0.372189609055811,0,0.942513313130378,"A"
30,0.80238426231221,0,0.999954314040835,"A"
29,0.240424576080319,0,0.93678581312763,"A"
28,0,0,0.981557561589028,"A"
24,0.629414528245762,0,0.999999086389241,"A"
23,0.00269468816709108,0,0.912050670216086,"A"
29,0.748570118492931,0,0.983515183666985,"B"
12,0,0.0909090909090909,0.113194673359023,"B"
45,0.955820315966717,0,1,"B"
29,0,0.0151515151515152,0.595129776515705,"B"
12,0,0.0151515151515152,0.0749048767357467,"B"
7,0,0.0909090909090909,0.00657098642385229,"B"
26,0,0.136363636363636,0.0487386146589728,"B"
11,0,0.393939393939394,0.0599936199077746,"B"
26,0,0.0151515151515152,0.832970309885277,"B"
9,0,0.212121212121212,0.0202892065096139,"B"
34,0,0.0303030303030303,0.454171312844412,"B"
18,0,0.0151515151515152,0.323480273617874,"B"
28,0,0.0454545454545455,0.570861885620491,"B"
13,0,0.0303030303030303,0.456184139596232,"B"
9,0.000373812877288707,0.348484848484849,0.0533234145701182,"B"
12,0,0.0454545454545455,0.301267258632605,"B"
14,0,0,0.617684152491755,"B"
45,0.87327465458383,0,1,"B"
23,0,0.0454545454545455,0.352274523194076,"B"
13,0,0.0606060606060606,0.17293645297411,"B"
11,0,0.0757575757575758,0.01992755205236,"B"
29,0.0927939885969173,0.0757575757575758,0.673631618805248,"B"
12,0,0.136363636363636,0.00868005721539197,"B"
12,0,0.181818181818182,0.0594683121556449,"B"
25,0.0307698471356298,0.0151515151515152,0.898709270462061,"B"
33,0.882551697550262,0,0.935046917133654,"B"
31,0.943346167273687,0,0.999570589572439,"B"
11,0,0.0606060606060606,0.0516935327509074,"B"
29,0.958457550682652,0,1,"B"
14,0,0.242424242424242,0.0303494152262674,"B"
13,0,0.0454545454545455,0.0865513303827602,"B"
27,0.445146779563577,0,0.955237377724757,"B"
6,0,0.242424242424242,0.026444372531833,"B"
37,0.501595133049579,0.0151515151515152,0.940723503027199,"B"
14,0.957365302280698,0.0151515151515152,0.999999999957796,"B"
40,0.768488324133131,0,0.826158059117703,"B"
35,0.69235172557767,0,0.825353893958399,"B"
29,0,0,0.408080558924684,"B"
28,0.554708040076521,0,0.941058642037847,"B"
22,0.685985714380158,0,0.994141878456287,"B"
29,0,0,0.85274692757694,"B"
37,0.591081705597969,0,0.938283163103741,"B"
26,0.105513362988728,0.0151515151515152,0.497499168614183,"B"
29,0,0.0303030303030303,0.761212948586942,"B"
32,0.0402908845129085,0,0.886648240731236,"B"
27,0.917193290115681,0,0.965544481413257,"B"
14,0,0.0151515151515152,0.398638950316768,"B"
18,0,0.0303030303030303,0.0164822643035289,"B"
19,0.114178821305597,0,0.794804324042259,"B"
19,0,0,0.497854889119914,"B"
13,0,0.0151515151515152,0.161573639462491,"B"
11,0,0.196969696969697,0.0115716678559318,"B"
14,0,0.166666666666667,0.0177729787061001,"B"
10,0,0.0606060606060606,0.124185906802096,"B"
9,0,0.242424242424242,0.00539237395768909,"B"
3,0,0.166666666666667,0.00427464646954018,"B"
2,0,0.242424242424242,0.00456287471499195,"B"
20,0,0.0606060606060606,0.316634320645087,"B"
15,0,0.272727272727273,0.024183658346688,"B"
12,0,0.0757575757575758,0.220778031812314,"B"
10,0.000456247651295225,0.212121212121212,0.0424257751567752,"B"
13,0,0.651515151515151,0.0295596564420627,"B"
11,0,0.242424242424242,0.0833051119257564,"B"
13,0,0.0454545454545455,0.287061614827947,"B"
7,0,0.333333333333333,0.0473244216817598,"B"
10,0,0.196969696969697,0.0893977454129854,"B"
8,0,0.0303030303030303,0.109406283215388,"B"
10,0,0.242424242424242,0.0580057328338075,"B"
13,0,0.212121212121212,0.0422456430111874,"B"
3,0,0.5,0.018657257845331,"B"
7,0.161372726495521,0,0.532689120050577,"B"
14,0,0,0.625941228142528,"B"
12,0,0.0151515151515152,0.188206318182615,"B"
14,0,0.0909090909090909,0.0338817509122396,"B"
23,0,0.484848484848485,0.0392677911087171,"B"
14,0,0.0757575757575758,0.117986671173281,"B"
13,0,0.484848484848485,0.028040643323837,"B"
7,0,0.651515151515151,0.00693078110648437,"B"
6,0.00141253299286474,0.287878787878788,0.0186576645662553,"B"
13,0,0.136363636363636,0.0348875558434317,"B"
6,0,0.242424242424242,0.0208467072258571,"B"
29,0,0.0757575757575758,0.0620260717771936,"B"
6,0,0.106060606060606,0.00997434884138832,"B"
2,0,0.46969696969697,0.0122356141115752,"B"
10,0,0.0303030303030303,0.00946012703659117,"B"
4,0,0.136363636363636,0.00445489122245506,"B"
13,0,0.303030303030303,0.0293605855224326,"B"
2,0,0.166666666666667,0.00284145146927844,"B"
17,0,0.121212121212121,0.0037765261567295,"B"
10,0,0.121212121212121,0.00502793848018498,"B"
1,0,0.757575757575758,0.0104546795684999,"B"
11,0,0.348484848484849,0.0121131857288635,"B"
14,0,0.181818181818182,0.0190109707304975,"B"
12,0,0.0606060606060606,0.0160617871423076,"B"
22,0,0.0151515151515152,0.123228220034277,"B"
14,0,0,0.664073884396135,"B"
45,0.704463888275456,0,0.96358008861686,"B"
29,0.976576374885085,0,0.999999999996951,"B"
36,0.912408755004364,0,0.996982533953277,"B"
24,0.831414321112359,0,0.996695418876158,"B"
29,0.923972814538307,0.0151515151515152,0.999985688469993,"B"
22,0.766128569810986,0,0.99242106978685,"B"
31,0,0,0.805022161155138,"B"
20,0,0.424242424242424,0.023968198888679,"B"
14,0,0.136363636363636,0.0635843704173973,"B"
13,0,0.272727272727273,0.0312740272456613,"B"
37,0.760532267005454,0.0151515151515152,0.957109561577695,"B"
14,0,0.151515151515152,0.0372494513195919,"B"
11,0.00182603579490883,0.0151515151515152,0.350210365998759,"B"
11,0,0.0303030303030303,0.244660698007601,"B"
10,0.00299658937481112,0.0151515151515152,0.0397768814562502,"B"
20,0.00467674108851799,0.0454545454545455,0.122054734045679,"B"
12,0,0.212121212121212,0.03147035151091,"B"
29,0,0.0151515151515152,0.674065622706827,"B"
20,0.250318874684808,0,0.776153559185889,"B"
17,0,0,0.371541055453822,"B"
25,0,0.0606060606060606,0.588641466772273,"B"
38,0.000284586596983966,0.0303030303030303,0.130412431074857,"B"
19,0.000626088314788917,0.0151515151515152,0.561768662958775,"B"
32,0.573808324091893,0,0.890301154684687,"B"
23,0,0,0.0493638449275253,"B"
15,0,0.303030303030303,0.0102376421823484,"B"
32,0,0,0.774306483164419,"B"
13,0.0186419588084255,0.166666666666667,0.125981453261333,"B"
28,0,0,0.457336197034196,"B"
18,9.19618411649714e-05,0.121212121212121,0.0239630356423312,"B"
5,0,0.0757575757575758,0.00314884969671296,"C"
5,0,0.409090909090909,0.00251139310664473,"C"
6,0,0.0909090909090909,0.188600160877365,"C"
9,0,0.0151515151515152,0.0445279619108754,"C"
11,0,0.166666666666667,0.00514547288634375,"C"
30,0.0352510322718722,0,0.774161844246775,"C"
36,0.14218138499172,0,0.680707315206206,"C"
31,0,0.0151515151515152,0.07162455545677,"C"
14,0.541241149941502,0,0.91026354489048,"C"
14,0,0.0151515151515152,0.0459671285214242,"C"
19,0.062512297798864,0,0.713254206020436,"C"
9,0.624908755856447,0,0.901655599204011,"C"
35,0.989513885694074,0,1,"C"
24,0.591402601469597,0,0.900524584573493,"C"
46,0.991060128287499,0,1,"C"
2,0.000794271396834165,0.272727272727273,0.00606795892955117,"C"
28,0.675217361841068,0,0.93276813660138,"C"
9,0,0,0.117477391343394,"C"
7,0,0.0909090909090909,0.0129032542278156,"C"
16,0,0.0151515151515152,0.0802057703026126,"C"
8,0,0.212121212121212,0.0031469864423272,"C"
1,0,0.257575757575758,0.00535736861213232,"C"
14,0,0.227272727272727,0.0205787485318471,"C"
3,0,0,0.0387974768049258,"C"
7,0,0.196969696969697,0.00160132421190902,"C"
8,0,0.0454545454545455,0.0143016166011396,"C"
21,0.691337585762856,0,0.941138320879289,"C"
14,0,0,0.322350390070864,"C"
31,0.983822889006136,0,1,"C"
11,0,0.0606060606060606,0.0222027292148124,"C"
46,0.964273888349308,0,1,"C"
19,0.93028398411266,0,0.999394599350012,"C"
25,0.489395338942984,0,0.8919022986598,"C"
15,0,0.0606060606060606,0.00438904694592655,"C"
2,0,0.363636363636364,0.00445783884155812,"C"
16,3.17998931387527e-05,0.0606060606060606,0.00191013809360887,"C"
4,0,0.454545454545455,0.00200713714166437,"C"
9,0,0,0.0740056592678586,"C"
9,0,0.0454545454545455,0.00283927876383229,"C"
1,0,0.515151515151515,0.00283168349023193,"C"
19,0.0125715312465261,0,0.440141252173139,"C"
25,0,0,0.176546274048741,"C"
7,0,0.227272727272727,0.00273030369483848,"C"
15,0,0.0757575757575758,0.0255982849040604,"C"
10,0,0.348484848484849,0.00247470943626745,"C"
16,0,0,0.118327084639215,"C"
13,0,0.181818181818182,0.00250491533550152,"C"
16,0,0.0151515151515152,0.37308249512524,"C"
26,0,0.0454545454545455,0.0763864972755408,"C"
16,0.295282799294564,0,0.720069385789462,"C"
31,0,0,0.235561554630617,"C"
46,0.956868953175027,0,1,"C"
2,0,0,0.0147804461609699,"C"
28,0.952358849324456,0.0151515151515152,1,"C"
14,0,0,0.0214909721023252,"C"
1,0,0,0.0406804649766649,"C"
10,0,0.212121212121212,0.000997292420152924,"C"
14,0.0048002496786054,0,0.239337617288773,"C"
13,0,0.0151515151515152,0.0890348170358539,"C"
26,0,0.0151515151515152,0.427816499590338,"C"
31,0.313814426931931,0.0151515151515152,0.801771156310818,"C"
12,0,0.0303030303030303,0.0398771830561185,"C"
19,0,0,0.303736981211735,"C"
7,0.00157344705934471,0.151515151515152,0.00424675016254427,"C"
19,0.941352821358782,0,0.970559270496107,"C"
15,0,0,0.050474809887907,"C"
19,0,0.0303030303030303,0.092404907588713,"C"
16,0,0,0.299913242542476,"C"
3,0,0,0.0341948325552306,"C"
15,0,0.0303030303030303,0.0545738721972299,"C"
9,0,0,0.200221249049233,"C"
13,0,0.0303030303030303,0.124491238134408,"C"
10,1,0,1,"C"
25,0.215059101377017,0,0.467664847953771,"C"
11,0.0992193550811167,0,0.182756548138149,"C"
8,0,0.0757575757575758,0.0132164961859835,"C"
31,0,0,0.411270722206462,"C"
28,0.998894486476833,0,1,"C"
35,0.902702054574916,0,0.941897246793688,"C"
31,0.799796627746321,0.0151515151515152,0.953568840051253,"C"
46,0.124501912221931,0,0.70610613220286,"C"
6,0,0.287878787878788,0.00253296071128194,"C"
31,0,0.0454545454545455,0.0496021192467146,"C"
6,0,0.0454545454545455,0.00988583241046567,"C"
31,0.951895449546781,0,1,"C"
5,0,0.151515151515152,0.00401627617308736,"C"
13,7.656828761637e-06,0.272727272727273,0.00644944547264001,"C"
30,0.914665721580019,0,0.973719123345479,"C"
20,0.674326514541164,0,0.955155237386796,"C"
26,0,0.0757575757575758,0.0114715997571615,"C"
9,0.000210038967545879,0.0151515151515152,0.0420745420287379,"C"
16,0,0.0606060606060606,0.0178091144870068,"C"
5,0,0.257575757575758,0.0036603323293322,"C"
14,0,0.0454545454545455,0.0597854429500936,"C"
8,0,0.363636363636364,0.00327566768777237,"C"
7,0,0.0151515151515152,0.0112358686777234,"C"
12,0,0.0151515151515152,0.0249840937028615,"C"
14,0,0.0909090909090909,0.00823258508242027,"C"
30,0.358091714423515,0,0.767415468725198,"C"
1,0,0.121212121212121,0.0103720740570738,"C"
14,0,0.0303030303030303,0.00341362336999117,"C"
10,0,0.0606060606060606,0.0146233956941051,"C"
4,0.961450311398548,0,0.937130845128216,"C"
16,0.0123514457780732,0,0.0886188509865004,"C"
3,0,0.303030303030303,0.00700753247840573,"C"
10,0,0.0909090909090909,0.00808856229591273,"C"
4,0.00173738063812419,0.318181818181818,0.00758109850682913,"C"
10,0.814315395140612,0,0.938713338260396,"C"
31,0.930620203049541,0,1,"C"
27,0,0,0.156408421512569,"C"
31,0.96175771485749,0,1,"C"
10,0.000528249853101399,0.196969696969697,0.00582792317084687,"C"
16,0,0.0909090909090909,0.00419608590649541,"C"
14,0,0,0.134210365377733,"C"
12,0,0.424242424242424,0.00379103373473945,"C"
14,0.00644611294306551,0,0.689814070291652,"C"
30,0.0319892554940826,0.0151515151515152,0.613763246820425,"C"
9,2.45700193224774e-06,0.106060606060606,0.00217666375431321,"C"
31,0.920306534030897,0,0.957364689804021,"C"
1,0,0.363636363636364,0.0029951867672341,"C"
8,0,0.212121212121212,0.00272211061082702,"C"
11,0,0.106060606060606,0.00900843291220001,"C"
7,0,0.0606060606060606,0.00674792786600377,"C"
14,0,0,0.0724671424312519,"C"
1,0,0.651515151515151,0.00119342694751493,"C"
24,0,0.0151515151515152,0.127782706512175,"C"
7,0,0.0303030303030303,0.00936441673267637,"C"
2,1,0,1,"C"
11,0,0.0303030303030303,0.00254557607466064,"C"
5,0,0.5,0.00330352427563644,"C"
23,0.150911707,0.0303030303030303,0.908177738,"O"
6,0,0.287878787878788,0.0773346,"O"
6,0,0.242424242424242,0.133687042,"O"
NA,0.000147615,0.303030303030303,0.030024413,"O"
23,0.107865429,0,0.885901973,"O"
16,0,0.454545454545455,0.035931619,"O"
24,0.033905371,0,0.778845286,"O"
34.1,0.063679413,0,0.972087082,"O"
8,0,0.121212121212121,0.079780745,"O"
18,0.079301592,0.196969696969697,0.279666353,"O"
NA,0,0.0454545454545455,0.206422504,"O"
NA,6.68e-07,0.409090909090909,0.036274785,"O"
9.1,3.59e-07,0.136363636363636,0.17050063,"O"
6,0,0.212121212121212,0.026542982,"O"
24,0.198812803,0,0.971632674,"O"
14,3.36e-07,0.0454545454545455,0.161173532,"O"
20,0.022665429,0,0.879071366,"O"
19,0.029361372,0.196969696969697,0.35684587,"O"
15,5.04e-07,0.181818181818182,0.133915413,"O"
6,0,0.545454545454545,0.017313285,"O"
35,0.290225287,0,0.970346097,"O"
20,0.143841955,0,0.890527196,"O"
24,0.014649567,0,0.940233655,"O"
15,0.012593396,0.5,0.050070009,"O"
18,3.38e-07,0.636363636363636,1.16e-10,"O"
NA,3.96e-07,0.0909090909090909,0.146511186,"O"
13,0,0.0606060606060606,0.331786993,"O"
10,0.00416599,0,0.778850445,"O"
19,0.092042496,0,0.941376107,"O"
NA,0,0.227272727272727,0.129897599,"O"
14,0,0.318181818181818,0.084816801,"O"
24,0.026413955,0,0.567090279,"O"
21,0.003302363,0.393939393939394,0.109464548,"O"
11,0.128959681,0,0.787554448,"O"
17,9.29e-07,0,0.726897605,"O"
15,0,0.212121212121212,0.156736037,"O"
14,0,0.0606060606060606,0.187911332,"O"
16,0.228157944,0,0.966371549,"O"
NA,0,0.833333333333333,0.036379647,"O"
NA,0,0.212121212121212,0.053665792,"O"
21,0,0,0.264466838,"O"
NA,0.097685184,0.0151515151515152,0.482217044,"O"
6,0.001321511,0.257575757575758,0.06474639,"O"
18,0,0.0454545454545455,0.284683352,"O"
6,0,0.136363636363636,0.123338919,"O"
23,0.115202884,0,0.952534965,"O"
9,0,0,0.170947942,"O"
12,0,0.212121212121212,0.081734046,"O"
6,0,0.787878787878788,2.05e-21,"O"
19,0.155137755,0,0.880460748,"O"
24,0.193671512,0,0.959520178,"O"
NA,0,0.136363636363636,0.22354342,"O"
NA,0,0.454545454545455,6.26e-19,"O"
16,0.015004222,0.606060606060606,0.094766304,"O"
32,0.249463288,0,0.801981564,"O"
32,0.128898601,0,0.845773956,"O"
14,0,0.196969696969697,0.04018994,"O"
13,0.001738556,0.0303030303030303,0.372562504,"O"
29,0,0,0.872873606,"O"
11,0.189198227,0,0.833462397,"O"
14,0,0.424242424242424,1.55e-11,"O"
17,0.00125607,0.5,0.066941529,"O"
14,3.32e-07,0.212121212121212,0.234599448,"O"
22,0,0,0.484045757,"O"
10,3.26e-07,0,0.364336151,"O"
22,0,0,0.724677697,"O"
14,7.05e-07,0.0454545454545455,0.317311192,"O"
13,3.38e-06,0.53030303030303,0.050299957,"O"
NA,0.001412843,NA,0.943845471,"O"
3.1,0,0,0.827529045,"O"
NA,2.6e-06,0,0.073030018,"O"
18,0.031626596,0,0.306416272,"O"
10,0,0.0757575757575758,0.119185432,"O"
11,0,0.136363636363636,0.156859367,"O"
18,0.082404994,0,0.900588212,"O"
13,0.38576807,0,0.979036404,"O"
15,0,0,0.82274856,"O"
19,3.33e-07,0,0.645144929,"O"
22,0.097182904,0,0.861148429,"O"
11,0.028765215,0.393939393939394,0.154697844,"O"
