"cleaning","trophallaxis","broodcare","guarding","queenattending","prop"
0,0.0909090909090909,0.0363636363636364,0.247152535873804,0.0908351920871817,0.391198024761355
0.00709219858156028,0.545454545454545,0.345454545454545,0.0102383314055033,0.408844498118516,0
0.00709219858156028,0.545454545454545,0.290909090909091,8.81958537928167e-05,0.202809036145659,0
0,0.636363636363636,0.363636363636364,0,0.829634667389233,0.000382652198249586
0,0,0,0.179913724564011,0.0454355405698823,0.279612122900685
0.0709219858156028,0.727272727272727,0.545454545454545,0,0.505590617166093,0
0.0212765957446809,0.363636363636364,0,0.262026535180034,0.191243788950837,0.0878905581791671
0,0,0,0.108119122023911,0.0632006215983907,0.165071756716413
0.0425531914893617,0.636363636363636,0.145454545454545,0,0.4458873837419,0
0.134751773049645,0.818181818181818,0.236363636363636,0.00290846156713361,0.436290651081248,0.205568055438077
0,0.909090909090909,0.0545454545454545,0,0.267481108899947,0
0,0.363636363636364,0.490909090909091,0,0.243019130659479,1.73161039481572e-06
0.049645390070922,0.363636363636364,0.163636363636364,0.00898529975903579,0.296165434176786,9.30610975656954e-07
0.0354609929078014,0.727272727272727,0.254545454545455,0,0.352279762342694,0
0,0.272727272727273,0,0.146558265330421,0.0730701110586732,0.515368736971932
0.00709219858156028,0.454545454545455,0.0545454545454545,6.23000499132237e-06,0.154717705684646,8.70989659667789e-07
0,0.0909090909090909,0,0.227832527282652,0.141079865703165,0.0587540306277811
0.0780141843971631,0.909090909090909,0.236363636363636,0.00990239902792907,0.399863262709659,0.0761114625168433
0.0141843971631206,0.636363636363636,0.218181818181818,2.98364696873571e-05,0.328634260048486,1.30648448950168e-06
0.0212765957446809,0.636363636363636,0.654545454545455,0,1,0
0,0.0909090909090909,0,1,0.0815040384156419,0.752331023664037
0,0.272727272727273,0,0.0114033485939057,0.0377193942645705,0.372871593545832
0,0.0909090909090909,0,0.897992587932877,0.0832984910447842,0.0379750636178883
0.0425531914893617,0.454545454545455,0.6,0.00043722625390907,0.820888505274794,0.0326449931431598
0.0354609929078014,0.272727272727273,0.763636363636364,0,0.233287814051641,8.76174121927717e-07
0.0212765957446809,0.272727272727273,0.109090909090909,0.000630906850848132,0.205830894373135,1.02652352746561e-06
0.0851063829787234,0.181818181818182,0.0727272727272727,0.0601466449349581,0.161177735149559,0
0.0425531914893617,0.181818181818182,0,0.105237951131253,0.0691223152745602,0.0107992089651173
0,0.0909090909090909,0,0.127479456761829,0.110753616270661,0.238595423410756
0,1,0.272727272727273,0,0.218203645251071,0
0.00709219858156028,0.909090909090909,0.381818181818182,0,0.386085455423105,0
1,0.0909090909090909,0,0.000765777701875133,0.161357180412473,0.0684710764164592
0.0283687943262411,0.272727272727273,0.472727272727273,8.88213563019856e-05,0.754373529670377,0.00856048817104018
0.00709219858156028,0.272727272727273,0,0.158265933405087,0.074505673161987,0.334293299598383
0.0212765957446809,0.545454545454545,0,0.0102364048577751,0.0752234542136439,2.40818271973624e-06
0.00709219858156028,0.454545454545455,0.254545454545455,0,0.276433633066738,0
0.0141843971631206,0.909090909090909,0.0727272727272727,0,0.2292090232256,0
0.0283687943262411,0,0,0.0918116898925444,0.0285676858559449,0.591438124985305
0.0141843971631206,0.181818181818182,1,0,0.464992920884378,0
0.0141843971631206,0.636363636363636,0.254545454545455,0,0.358739791807606,0
0.0141843971631206,0.727272727272727,0,0.0367458642290133,0.190513446730776,0
0,0.272727272727273,0.0181818181818182,0.000198284295406545,0.140182639388594,0.253222574901028
0.0141843971631206,0.454545454545455,0.309090909090909,0.00021892587820912,0.887139696342726,0.00342566195278941
0.0141843971631206,0.181818181818182,0.0545454545454545,0.00275168561823552,0.0980130026037508,0
0.0425531914893617,0.272727272727273,0.163636363636364,0.000267089571415126,0.207074450045131,0
0.00709219858156028,0.0909090909090909,0,0.134758079179623,0.042026080574512,0.298632502166392
0.0212765957446809,1,0,6.14868966513041e-05,0.482408083650204,0
0.0212765957446809,0,0.254545454545455,0.00559271175985563,0.375471268121729,0
0.0212765957446809,0.363636363636364,0.945454545454545,0,0.333298042431627,0
0.00709219858156028,0.181818181818182,0,0.0560018088531761,0.0655334100162757,0.402152917943675
0,0,0,0.0603058916187674,0,0.50204132239353
0,0.545454545454545,0.163636363636364,0,0.223543936275398,0
0,0.636363636363636,0.545454545454545,0,0.495755222305764,0
0.0212765957446809,0.181818181818182,0.727272727272727,0.000786325459301332,0.654706041742557,0.0388944113492856
0,0,0,0.381624078609002,0.0524339058235371,0.64666650093669
