antID,nursing,foraging,tropholaxis,cleaning,module,age,queen,lane,prep,nursebox,foragebox,boxratio,soft,N_Q_contacts,Prop_time_foraging,N_exits,Prop_time_guarding_2BL_FPT500sec,Prop_time_guarding_2BL_FPT1000sec,Prop_time_guarding_2BL_FPT2000sec,N_guarding_bouts_2BL_FPT500sec,N_guarding_bouts_2BL_FPT1000sec,N_guarding_bouts_2BL_FPT2000sec,Prop_time_in_BroodPile,N_BroodPile_visits,Prop_time_in_Food1,Prop_time_in_Food2,Prop_time_in_Food3,Prop_time_in_TrashPile,N_TrashPile_visits
397,0,79,5,2,1,11,0,8,Crushed,3045442,710645,0.189198227,0.833462397,7.91E-05,0.529085732,0.000308915,0.008107144,0.004808324,0.001579643,0.000329807,0.000211166,0.000135057,0.001447571,8.51E-05,0.028339561,0.000540974,0.02479152,0.001639337,0.000335031
437,28,0,6,4,2,14,0,9,Crushed,2937010,0,0,1.55E-11,0.000261059,0,0,0,0,0,0,0,0,0.243269503,0.000762964,0,0,0,0.00345441,5.48E-05
462,33,0,2,3,2,17,0,9,Crushed,1879697,2364,0.00125607,0.066941529,0.000185852,0.000793057,2.35E-06,0.001595171,0.001397578,1.27E-05,1.11E-05,4.36E-06,3.35E-07,0.241292145,0.000941,3.02E-06,0,0,0.006020051,6.37E-05
476,14,0,0,1,2,14,0,7,Crushed,3014115,1,3.32E-07,0.234599448,0.000152233,3.43E-07,3.43E-07,0.000892142,0,0,7.89E-06,0,0,0.150546343,0.000300009,0,0,0,0.000227664,1.68E-05
482,0,0,3,0,0,22,0,2,Crushed,2792326,0,0,0.484045757,6.38E-05,0,0,0.012756957,0.012529278,0.011117603,0.000102439,9.62E-05,8.66E-05,0.023215976,5.45E-05,0,0,0,0.000134492,1.52E-05
518,0,0,0,0,0,10,0,3,Crushed,3064782,1,3.26E-07,0.364336151,0.000167027,3.28E-07,3.28E-07,0.02281258,0.020331086,0.014236902,0.00023875,0.000196175,0.000157202,0.030066781,0.00021517,0,0,0,0.000639942,2.26E-05
534,0,0,7,0,1,22,0,3,Crushed,2902266,0,0,0.724677697,5.38E-05,0,0,0.021846102,0.015748192,0.009425746,0.000203411,0.000125045,8.21E-05,0.001280435,3.85E-05,0,0,0,0.000160821,1.26E-05
540,3,0,4,0,0,14,0,9,Crushed,2838795,2,7.05E-07,0.317311192,5.96E-05,6.58E-07,6.58E-07,0.007244822,0.006674465,0.00631902,5.04E-05,4.54E-05,4.31E-05,0.030431016,0.000106963,0,0,0,0.000224786,1.35E-05
556,35,0,0,8,2,13,0,2,Crushed,2956951,10,3.38E-06,0.050299957,0.000195883,3.41E-06,6.83E-07,0.00025219,0.000247754,0,4.10E-06,3.41E-06,0,0.253446117,0.000880448,0,0,0,0.002745086,9.28E-05
564,NA,NA,NA,NA,1,NA,0,6,Crushed,2914813,4124,0.001412843,0.943845471,6.97E-05,0.00219392,8.51E-06,0.163464096,0.121631715,0.062037303,0.00094162,0.000778831,0.000405907,0.000587315,1.17E-05,0,5.32E-07,1.06E-06,8.30E-05,7.45E-06
575,0,0,0,0,1,3.1,0,3,Crushed,3036340,0,0,0.827529045,0.000114392,0,0,0.044045756,0.033822594,0.015303983,0.000566309,0.000428307,0.000180567,0.007150194,3.99E-05,0,0,0,0.00018622,9.98E-06
593,0,0,1,0,2,NA,0,1,Crushed,2687467,7,2.60E-06,0.073030018,0.000498402,2.29E-06,1.96E-06,0.000733214,0.000415662,0,9.48E-06,3.60E-06,0,0.139316143,0.000510175,0,0,0,0.000604362,3.47E-05
600,0,0,4,7,0,18,0,3,Crushed,2025046,66137,0.031626596,0.306416272,0.000103512,0.022767188,8.97E-06,0.001803529,0.001745908,0.001496098,3.59E-05,3.04E-05,2.48E-05,0.035154161,0.000265682,0.000201504,4.52E-05,8.70E-05,0.000903317,5.76E-05
610,7,0,5,0,2,8,0,9,Crushed,1063214,0,0,0.036772348,0.000195915,0,0,0,0,0,0,0,0,0.08474798,0.000463687,0,0,0,0.000348782,3.49E-05
614,5,0,9,7,2,10,0,1,Crushed,2975520,0,0,0.119185432,0.00019222,0,0,0.001872343,0.001394715,0.000562906,2.72E-05,2.20E-05,2.34E-05,0.066928095,0.000504449,0,0,0,0.001056352,9.11E-05
620,9,0,9,2,2,11,0,4,Crushed,3003832,0,0,0.156859367,0.000113554,0,0,0,0,0,0,0,0,0.041355618,0.000336039,0,0,0,0.001019011,5.02E-05
632,0,2,0,0,1,18,0,3,Crushed,2943286,264323,0.082404994,0.900588212,5.47E-05,0.115493837,1.75E-06,0.012263744,0.009687478,0.00063772,0.000189521,8.93E-05,2.58E-05,2.63E-06,4.38E-07,0.000686304,6.13E-06,0.003754975,0.002727708,0.000507725
635,0,52,0,0,1,13,0,7,Crushed,2116849,1329486,0.38576807,0.979036404,3.43E-05,0.555600089,5.36E-05,0.011751284,0.006096144,0.002447085,0.000296515,0.000179249,0.000111402,8.33E-05,3.35E-06,0.019076206,0.001331385,0.0034941,0.000235369,5.07E-05
638,0,0,7,0,1,15,0,6,Crushed,2892582,0,0,0.82274856,0.000175826,0,0,0.166144129,0.151895822,0.115911446,0.000409587,0.000376914,0.00025936,0.00219513,7.95E-05,0,0,0,0.000176163,1.21E-05
646,0,0,4,0,0,19,0,9,Crushed,2999295,1,3.33E-07,0.645144929,6.01E-05,3.34E-07,3.34E-07,0.014529393,0.007659745,0.002251512,0.000152481,8.37E-05,1.80E-05,0.011196835,7.21E-05,0,0,0,0.000363352,1.80E-05
663,0,14,2,0,1,22,0,6,Crushed,2148228,231244,0.097182904,0.861148429,3.33E-05,0.098518901,2.56E-06,0.030571491,0.017903178,0.008512256,0.000634995,0.000301281,0.000144239,0.008148671,0.000104979,0.012147686,8.83E-05,2.39E-05,0.000376388,4.69E-05
665,26,0,6,11,2,11,0,8,Crushed,1727377,51160,0.028765215,0.154697844,0.00033231,0.017376151,1.84E-05,0.000289069,0.000149812,5.31E-05,1.74E-05,6.81E-06,2.04E-06,0.142888662,0.000837585,0.000273407,3.51E-05,0.000208715,0.00133537,0.000127681
1000,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
