"","Age","Behaviour","Physical environment","Social","Gene expression","Microbiota"
"Age",0,0.284,0.486,0.537,0.163,0.012
"Behaviour",0.284,0,0.648,0.56,0.034,0.018
"Physical environment",0.486,0.648,0,0.537,0.08,0.007
"Social",0.537,0.56,0.537,0,0.107,0.006
"Gene expression",0.163,0.034,0.08,0.107,0,0.005
"Microbiota",0.012,0.018,0.007,0.006,0.005,0
