"cleaning","trophallaxis","broodcare","guarding","queenattending","prop"
0,0.357142857142857,0,0.105263157894737,0,0.76652491064103
0.375,0.357142857142857,0.12,0,0,0
0,0.5,0,0,0,0.978746097640535
0.03125,0.214285714285714,0.02,0.0526315789473684,0,0
0,0.428571428571429,0.02,0,0.0344827586206897,0
0.0625,0.642857142857143,0.12,0,0.310344827586207,0
0,0.714285714285714,0.18,0,0.103448275862069,0
0.15625,0.357142857142857,0.52,0,0,0
0,0.142857142857143,0.02,0.210526315789474,0,0
0,0.428571428571429,0.28,0,0.344827586206897,0
0,0,0.04,0,0,0
0,0.642857142857143,0.02,0,0.172413793103448,0
0,0.285714285714286,0.06,0.0526315789473684,0,0
0,0.357142857142857,0.04,0,0,0
0.0625,0.142857142857143,0.46,0,0.103448275862069,0.000382778947865387
0,0.142857142857143,0.06,0.0526315789473684,0.103448275862069,0
0,0.285714285714286,0,0,0,0
0,0.428571428571429,0,0,0,0.894220541313617
0,0.357142857142857,0.06,0,0.0344827586206897,0
0,0,0.08,0,0,0
0,0.142857142857143,0.1,0,0.448275862068966,0
0,0.357142857142857,0.1,0.315789473684211,0,0.095019694294608
0,0.928571428571429,0.18,0,0.724137931034483,0
0,0.142857142857143,0.24,0,0,0
0,0.285714285714286,0.02,0.105263157894737,0,0.0315078758066931
0,0.0714285714285714,0,0,0,0.903720098342654
0,0.428571428571429,0,0,0,0.96597275086108
0,0.0714285714285714,0.08,0,0.206896551724138,0
0,0.571428571428571,0,0,0,0.981446587621408
0.03125,0.285714285714286,0.32,0,0.172413793103448,0
0.15625,0.357142857142857,0.06,0.105263157894737,0.0689655172413793,0
0.03125,0.0714285714285714,0,0.157894736842105,0,0.455823825981821
0.03125,0.142857142857143,0.32,0,0.482758620689655,0
0,0.571428571428571,0.02,0.157894736842105,0,0.513626118703314
0,0.285714285714286,0.02,0,0,0.980328141148563
0,0.142857142857143,0,0,0,0.786920863433298
0,0,0,0.105263157894737,0,0.708958094198357
0.0625,0.142857142857143,0,0.105263157894737,0,0
0,0.214285714285714,0,0.0526315789473684,0,0.568012962777022
0,1,0,0.105263157894737,0.0344827586206897,0.702439391349068
0,0.357142857142857,0,0.526315789473684,0,0
0,0.142857142857143,0,0,0,0.605259067082718
0.03125,0.214285714285714,0.02,0.105263157894737,0,0.108044148621908
0.03125,0,0.04,0.368421052631579,0,0
0.09375,0.214285714285714,0,0.736842105263158,0,0.0412572795626451
0,0.5,0,0.0526315789473684,0,0.939192585140725
0,0,0.02,0.263157894736842,0.0344827586206897,0
0.03125,0.357142857142857,0.04,0,0.655172413793103,0
0.0625,0.5,0,0.421052631578947,0.0344827586206897,0.116917451867533
0.21875,0,0,0.0526315789473684,0,0
1,0.142857142857143,0.02,0,0.0344827586206897,0
0.03125,1,0.26,0,0.275862068965517,0
0.03125,0.571428571428571,0.22,0,0.344827586206897,0
0,0.428571428571429,0.08,0.0526315789473684,0.0344827586206897,0
0,0.142857142857143,0.32,0,0.379310344827586,0
0.03125,0.285714285714286,0.22,0,0.551724137931034,0
0,0.142857142857143,0.32,0,0.689655172413793,0
0.03125,0.214285714285714,0.08,0.157894736842105,0,0
0,0.428571428571429,0.36,0,0.413793103448276,0
0.1875,0.357142857142857,0.1,0.0526315789473684,0.103448275862069,0
0.0625,0.428571428571429,0.28,0,0,0.000467190957132167
0.125,0.214285714285714,0.86,0,0,0
0.0625,0.142857142857143,0.32,0,0.103448275862069,0
0,0.142857142857143,0.06,0.105263157894737,0,0
0,0.214285714285714,0.44,0.0526315789473684,0,0
0,0.0714285714285714,0.26,0,0.0689655172413793,0
0,0.214285714285714,0.04,0.0526315789473684,0.103448275862069,0
0.0625,0.0714285714285714,0.32,0,0.172413793103448,0
0.0625,0.214285714285714,0.28,0.0526315789473684,0.448275862068966,0
0,0.571428571428571,0.66,0,0.137931034482759,0
0.03125,0.142857142857143,0,0.157894736842105,0,0.165243324173708
0.03125,0,0,1,0,0
0.8125,0.285714285714286,0.02,0,0,0
0,0.0714285714285714,0.12,0,0.137931034482759,0
0.0625,0.5,0.64,0,0.0344827586206897,0
0.25,0.571428571428571,0.1,0,0.0689655172413793,0
0,0.285714285714286,0.64,0,0,0
