"","Age","Behaviour","Physical environment","Social","Gene expression","Microbiota"
"Age",0,0.35,0.37,0.49,0.24,0.17
"Behaviour",0.35,0,0.6,0.72,0.27,0.31
"Physical environment",0.37,0.6,0,0.49,0.27,0.21
"Social",0.49,0.72,0.49,0,0.36,0.32
"Gene expression",0.24,0.27,0.27,0.36,0,0.16
"Microbiota",0.17,0.31,0.21,0.32,0.16,0
